year,bechdel_result_id,movie_name
2014,0,'71
2014,1,3 Days to Kill
2014,1,300: Rise of an Empire
2014,3,A Long Way Down
2014,1,The Adventurer: The Curse of the Midas Box
2014,3,Alles Inklusive
2014,3,Barbie: The Pearl Princess
2014,3,Camp Takota
2014,1,Captain America: The Winter Soldier
2014,3,Cesar Chavez
2014,3,Dead Snow 2
2014,3,Fields of the Dead
2014,3,Flowers in the Attic
2014,1,God's Not Dead
2014,1,"I, Frankenstein"
2014,1,Jack Ryan: Shadow Recruit
2014,2,The Legend of Hercules
2014,3,The Lego Movie   [1 review(s) available]
2014,3,Lizzie Borden Took An Ax
2014,2,The Monuments Men
2014,1,Mr. Peabody and Sherman
2014,3,Noah
2014,3,Non-Stop
2014,3,Our RoboCop Remake
2014,2,The Pa Boys
2014,2,Paranormal Activity: The Marked Ones
2014,3,Pompeii
2014,0,Ride Along
2014,3,Rio 2
2014,2,Robocop
2014,3,That Awkward Moment
2014,3,Vampire Academy
2014,3,Veronica Mars
2014,3,Winter's Tale
2013,3,+1
2013,1,The 100-Year-Old Man Who Climbed Out the Window and Disappeared
2013,3,12 Years a Slave   [1 review(s) available]
2013,1,2 Guns
2013,3,20 Feet from Stardom
2013,1,21 & Over
2013,2,42
2013,2,47 Ronin
2013,0,A Field in England
2013,1,A Good Day to Die Hard
2013,3,A Haunting at Silver Falls
2013,3,A Talking Cat!?!
2013,3,About Time
2013,3,Admission
2013,1,After Earth
2013,3,Afternoon Delight
2013,0,All is Lost
2013,3,American Hustle
2013,3,Amiche da morire
2013,3,Anchorman 2: The Legend Continues
2013,3,And Now a Word from Our Sponsor
2013,3,August: Osage County
2013,3,Austenland
2013,3,Baggage Claim
2013,3,Beautiful Creatures
2013,3,Before Midnight
2013,1,Behind the Candelabra
2013,1,Beltracchi: The Art of Forgery
2013,3,Best Friends Forever
2013,3,The Big Wedding
2013,3,Birdemic 2: The Resurrection
2013,3,The Bling Ring
2013,3,Blue Is the Warmest Color   [2 review(s) available]
2013,3,Blue Jasmine
2013,3,The Book Thief
2013,3,Bounty Killer
2013,0,The Boy and the World
2013,3,The Call
2013,3,Camille Claudel 1915
2013,3,Captain Battle: Legacy War
2013,1,Captain Phillips
2013,3,Carrie
2013,3,Casse-tete chinois
2013,2,Clear History
2013,2,Closed Circuit
2013,0,Cloudy with a Chance of Meatballs 2
2013,1,The Colony
2013,1,Computer Chess
2013,3,Concussion
2013,3,The Congress
2013,3,The Conjuring   [1 review(s) available]
2013,3,The Counselor
2013,3,The Croods
2013,3,The Crown and the Dragon
2013,3,Crystal Fairy & the Magical Cactus and 2012
2013,0,Cutie and the Boxer
2013,3,Dallas Buyers Club   [1 review(s) available]
2013,2,Dark Skies
2013,3,The Day of the Doctor
2013,3,Dead Man Down
2013,3,Despicable Me 2
2013,3,Devil's Pass
2013,2,Disconnect
2013,3,Don Jon   [1 review(s) available]
2013,3,Dragon Ball Z: Battle of Gods
2013,1,Dragon Lore: Curse of the Shadow
2013,3,Drinking Buddies
2013,3,The East
2013,2,Ego
2013,3,Elysium
2013,2,Ender's Game
2013,3,Enough Said
2013,3,Epic
2013,3,Escape from Planet Earth
2013,2,Escape Plan
2013,3,Europa Report
